Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
2016-01-06,Palermo,Fiorentina,1,3,A,0.0,2.0,A,,11,11,3,5,23,16,4,3,3,3,0,0,1516
2016-01-06,Sassuolo,Frosinone,2,2,D,1.0,2.0,A,,30,5,3,2,14,21,8,1,1,2,1,0,1516
2016-01-06,Udinese,Atalanta,2,1,H,2.0,0.0,H,,18,22,6,7,18,18,4,5,3,3,0,0,1516
2016-01-09,Carpi,Udinese,2,1,H,1.0,0.0,H,,13,10,6,5,17,10,6,5,1,1,0,0,1516
2016-01-09,Fiorentina,Lazio,1,3,A,0.0,1.0,A,,17,10,7,6,15,23,6,2,3,4,0,0,1516
2016-01-09,Roma,Milan,1,1,D,1.0,0.0,H,,12,17,5,6,9,15,4,8,3,3,0,0,1516
2016-01-10,Atalanta,Genoa,0,2,A,0.0,0.0,D,,14,12,0,2,14,18,4,5,2,2,0,0,1516
2016-01-10,Bologna,Chievo,0,1,A,0.0,0.0,D,,16,8,2,2,20,16,5,4,2,2,0,0,1516
2016-01-10,Frosinone,Napoli,1,5,A,0.0,2.0,A,,9,24,3,10,12,10,3,9,2,1,0,0,1516
2016-01-10,Inter,Sassuolo,0,1,A,0.0,0.0,D,,21,15,6,6,16,19,9,7,3,3,0,0,1516
2016-01-10,Sampdoria,Juventus,1,2,A,0.0,1.0,A,,9,13,2,5,18,16,5,8,2,4,1,0,1516
2016-01-10,Torino,Empoli,0,1,A,0.0,0.0,D,,19,11,6,4,21,22,7,1,3,6,0,0,1516
2016-01-10,Verona,Palermo,0,1,A,0.0,1.0,A,,30,9,7,2,16,25,10,3,2,4,0,0,1516
2016-01-16,Atalanta,Inter,1,1,D,1.0,1.0,D,,19,13,5,2,14,19,8,8,4,5,0,0,1516
2016-01-16,Napoli,Sassuolo,3,1,H,2.0,1.0,H,,20,9,6,3,10,18,3,5,0,1,0,0,1516
2016-01-16,Torino,Frosinone,4,2,H,3.0,1.0,H,,21,18,9,5,14,14,6,7,1,1,0,0,1516
2016-01-17,Bologna,Lazio,2,2,D,2.0,0.0,H,,8,9,3,3,16,17,2,7,1,2,1,0,1516
2016-01-17,Carpi,Sampdoria,2,1,H,1.0,1.0,D,,9,12,5,4,23,15,2,4,1,1,1,0,1516
2016-01-17,Chievo,Empoli,1,1,D,1.0,0.0,H,,15,14,5,5,18,13,3,6,3,3,0,0,1516
2016-01-17,Genoa,Palermo,4,0,H,1.0,0.0,H,,18,11,10,3,14,20,1,2,2,2,0,1,1516
2016-01-17,Milan,Fiorentina,2,0,H,1.0,0.0,H,,4,14,3,1,20,19,4,10,2,4,0,0,1516
2016-01-17,Roma,Verona,1,1,D,1.0,0.0,H,,16,10,4,3,14,16,8,2,0,2,0,0,1516
2016-01-17,Udinese,Juventus,0,4,A,0.0,4.0,A,,8,13,3,8,10,16,3,4,1,1,1,0,1516
2016-01-20,Sassuolo,Torino,1,1,D,1.0,1.0,D,,13,8,3,5,12,11,8,5,2,4,0,0,1516
2016-01-23,Empoli,Milan,2,2,D,1.0,1.0,D,,15,10,6,5,12,22,2,3,2,4,0,0,1516
2016-01-23,Frosinone,Atalanta,0,0,D,0.0,0.0,D,,11,16,1,3,15,19,5,1,2,1,0,0,1516
2016-01-24,Fiorentina,Torino,2,0,H,1.0,0.0,H,,13,10,2,2,13,25,3,8,1,4,0,0,1516
2016-01-24,Inter,Carpi,1,1,D,1.0,0.0,H,,18,12,7,4,8,17,7,6,3,3,0,1,1516
2016-01-24,Juventus,Roma,1,0,H,0.0,0.0,D,,15,6,7,1,9,16,1,2,2,4,0,0,1516
2016-01-24,Lazio,Chievo,4,1,H,0.0,1.0,A,,24,7,7,5,13,8,8,5,2,0,1,1,1516
2016-01-24,Palermo,Udinese,4,1,H,1.0,0.0,H,,16,20,8,9,9,6,7,7,2,3,0,0,1516
2016-01-24,Sampdoria,Napoli,2,4,A,1.0,2.0,A,,8,23,4,9,14,12,7,3,1,1,1,0,1516
2016-01-24,Sassuolo,Bologna,0,2,A,0.0,0.0,D,,13,16,2,7,9,15,4,5,0,2,1,0,1516
2016-01-24,Verona,Genoa,1,1,D,1.0,1.0,D,,17,10,9,2,19,20,3,3,2,2,0,0,1516
2016-01-30,Atalanta,Sassuolo,1,1,D,1.0,1.0,D,,6,9,5,1,24,17,3,5,2,4,0,0,1516
2016-01-30,Carpi,Palermo,1,1,D,0.0,1.0,A,,13,5,1,1,22,13,7,4,2,3,0,0,1516
2016-01-30,Roma,Frosinone,3,1,H,1.0,1.0,D,,22,13,6,3,17,13,11,8,1,2,0,0,1516
2016-01-31,Bologna,Sampdoria,3,2,H,2.0,0.0,H,,7,14,5,6,13,14,3,4,3,5,0,0,1516
2016-01-31,Chievo,Juventus,0,4,A,0.0,2.0,A,,6,30,2,10,12,7,0,4,3,2,0,0,1516
2016-01-31,Genoa,Fiorentina,0,0,D,0.0,0.0,D,,11,11,2,3,13,15,7,6,2,3,0,0,1516
2016-01-31,Milan,Inter,3,0,H,1.0,0.0,H,,14,12,5,3,18,16,5,6,3,1,0,0,1516
2016-01-31,Napoli,Empoli,5,1,H,2.0,1.0,H,,20,7,6,2,11,15,4,3,3,3,0,0,1516
2016-01-31,Torino,Verona,0,0,D,0.0,0.0,D,,16,10,6,3,13,18,5,2,0,4,0,0,1516
2016-01-31,Udinese,Lazio,0,0,D,0.0,0.0,D,,11,17,1,1,8,19,5,5,2,4,1,1,1516
2016-02-02,Sassuolo,Roma,0,2,A,0.0,1.0,A,,17,13,6,5,12,15,8,7,1,2,0,1,1516
2016-02-03,Empoli,Udinese,1,1,D,0.0,1.0,A,,19,5,4,2,11,27,7,3,3,6,0,0,1516
